id,name,height,grid_id,zone_id
4909,B04909,6.0,906,503
4910,B04910,6.0,721,365
4911,B04911,6.0,573,253
4912,B04912,6.0,536,223
4913,B04913,6.0,1572,811
4914,B04914,6.0,462,167
4915,B04915,6.0,1535,798
4916,B04916,6.0,425,137
4917,B04917,6.0,573,253
4918,B04918,6.0,425,137
4919,B04919,6.0,758,392
4920,B04920,6.0,573,253
4921,B04921,6.0,869,473
4922,B04922,6.0,425,137
4923,B04923,6.0,462,167
4924,B04924,6.0,869,473
4925,B04925,6.0,869,473
4926,B04926,6.0,721,365
4927,B04927,6.0,462,167
4928,B04928,6.0,795,418
4929,B04929,6.0,869,473
4930,B04930,6.0,462,167
4931,B04931,6.0,610,281
4932,B04932,6.0,906,503
4933,B04933,6.0,906,503
4934,B04934,6.0,536,223
4935,B04935,6.0,721,365
4936,B04936,6.0,536,223
4937,B04937,6.0,758,392
4938,B04938,6.0,388,110
4939,B04939,6.0,943,527
4940,B04940,6.0,943,527
4941,B04941,6.0,425,137
4942,B04942,6.0,943,527
4943,B04943,6.0,425,137
4944,B04944,6.0,610,281
4945,B04945,6.0,1535,798
4946,B04946,6.0,499,194
4947,B04947,6.0,425,137
4948,B04948,6.0,425,137
4949,B04949,6.0,980,550
4950,B04950,6.0,869,473
4951,B04951,6.0,425,137
4952,B04952,6.0,832,446
4953,B04953,6.0,758,392
4954,B04954,6.0,610,281
4955,B04955,6.0,795,418
4956,B04956,6.0,462,167
4957,B04957,6.0,462,167
4958,B04958,6.0,462,167
4959,B04959,6.0,462,167
4960,B04960,6.0,832,446
4961,B04961,6.0,462,167
4962,B04962,6.0,462,167
4963,B04963,6.0,573,253
4964,B04964,6.0,869,473
4965,B04965,6.0,869,473
4966,B04966,6.0,462,167
4967,B04967,6.0,943,527
4968,B04968,6.0,462,167
4969,B04969,6.0,388,110
4970,B04970,6.0,462,167
4971,B04971,6.0,536,223
4972,B04972,6.0,1535,798
4973,B04973,6.0,758,392
4974,B04974,6.0,499,194
4975,B04975,6.0,573,253
4976,B04976,6.0,462,167
4977,B04977,6.0,795,418
4978,B04978,6.0,425,137
4979,B04979,6.0,943,527
4980,B04980,6.0,943,527
4981,B04981,6.0,388,110
4982,B04982,6.0,425,137
4983,B04983,6.0,721,365
4984,B04984,6.0,462,167
4985,B04985,6.0,462,167
4986,B04986,6.0,758,392
4987,B04987,6.0,462,167
4988,B04988,6.0,573,253
4989,B04989,6.0,425,137
4990,B04990,6.0,462,167
4991,B04991,6.0,906,503
4992,B04992,6.0,536,223
4993,B04993,6.0,499,194
4994,B04994,6.0,462,167
4995,B04995,6.0,462,167
4996,B04996,6.0,462,167
4997,B04997,6.0,647,308
4998,B04998,6.0,462,167
4999,B04999,6.0,1535,798
5000,B05000,6.0,1535,798
5001,B05001,6.0,869,473
5002,B05002,6.0,425,137
5003,B05003,6.0,610,281
5004,B05004,6.0,869,473
5005,B05005,6.0,573,253
5006,B05006,6.0,869,473
5007,B05007,6.0,906,503
5008,B05008,6.0,499,194
5009,B05009,6.0,832,446
5010,B05010,6.0,425,137
5011,B05011,6.0,906,503
5012,B05012,6.0,832,446
5013,B05013,6.0,462,167
5014,B05014,6.0,1572,811
5015,B05015,6.0,462,167
5016,B05016,6.0,425,137
5017,B05017,6.0,388,110
5018,B05018,6.0,869,473
5019,B05019,6.0,425,137
5020,B05020,6.0,1535,798
5021,B05021,6.0,647,308
5022,B05022,6.0,869,473
5023,B05023,6.0,499,194
5024,B05024,6.0,536,223
5025,B05025,6.0,499,194
5026,B05026,6.0,758,392
5027,B05027,6.0,906,503
5028,B05028,6.0,462,167
5029,B05029,6.0,869,473
5030,B05030,6.0,721,365
5031,B05031,6.0,573,253
5032,B05032,6.0,1535,798
5033,B05033,6.0,462,167
5034,B05034,6.0,462,167
5035,B05035,6.0,869,473
5036,B05036,6.0,573,253
5037,B05037,6.0,388,110
5038,B05038,6.0,906,503
5039,B05039,6.0,758,392
5040,B05040,6.0,906,503
5041,B05041,6.0,573,253
5042,B05042,6.0,462,167
5043,B05043,6.0,462,167
5044,B05044,6.0,1535,798
5045,B05045,6.0,647,308
5046,B05046,6.0,462,167
5047,B05047,6.0,832,446
5048,B05048,6.0,906,503
5049,B05049,6.0,869,473
5050,B05050,6.0,869,473
5051,B05051,6.0,610,281
5052,B05052,6.0,943,527
5053,B05053,6.0,425,137
5054,B05054,6.0,425,137
5055,B05055,6.0,943,527
5056,B05056,6.0,795,418
5057,B05057,6.0,869,473
5058,B05058,6.0,906,503
5059,B05059,6.0,906,503
5060,B05060,6.0,462,167
5061,B05061,6.0,869,473
5062,B05062,6.0,980,550
5063,B05063,6.0,1572,811
5064,B05064,6.0,462,167
5065,B05065,6.0,425,137
5066,B05066,6.0,906,503
5067,B05067,6.0,647,308
5068,B05068,6.0,647,308
5069,B05069,6.0,1572,811
5070,B05070,6.0,610,281
5071,B05071,6.0,462,167
5072,B05072,6.0,573,253
5073,B05073,6.0,1572,811
5074,B05074,6.0,388,110
