id,name,use_type
418,B00418,RESTAURANT
419,B00419,RESTAURANT
420,B00420,RESTAURANT
421,B00421,MULTI_RES
422,B00422,MULTI_RES
423,B00423,FOODSTORE
424,B00424,OFFICE
425,B00425,SCHOOL
426,B00426,RETAIL
427,B00427,INDUSTRIAL
428,B00428,MULTI_RES
429,B00429,MULTI_RES
430,B00430,RETAIL
431,B00431,RETAIL
432,B00432,OFFICE
433,B00433,OFFICE
434,B00434,HOTEL
435,B00435,RETAIL
436,B00436,RETAIL
437,B00437,MULTI_RES
438,B00438,MULTI_RES
439,B00439,HOSPITAL
440,B00440,MULTI_RES
441,B00441,OFFICE
442,B00442,MULTI_RES
443,B00443,INDUSTRIAL
444,B00444,INDUSTRIAL
445,B00445,MULTI_RES
446,B00446,RESTAURANT
447,B00447,MULTI_RES
448,B00448,RETAIL
449,B00449,RESTAURANT
450,B00450,MULTI_RES
451,B00451,OFFICE
452,B00452,INDUSTRIAL
453,B00453,INDUSTRIAL
454,B00454,MULTI_RES
455,B00455,RESTAURANT
456,B00456,MULTI_RES
457,B00457,RETAIL
458,B00458,RETAIL
459,B00459,OFFICE
460,B00460,RETAIL
461,B00461,RESTAURANT
462,B00462,OFFICE
463,B00463,OFFICE
464,B00464,MULTI_RES
465,B00465,MULTI_RES
466,B00466,MULTI_RES
467,B00467,RESTAURANT
468,B00468,MULTI_RES
469,B00469,MULTI_RES
470,B00470,MULTI_RES
471,B00471,INDUSTRIAL
472,B00472,RESTAURANT
473,B00473,OFFICE
474,B00474,MULTI_RES
475,B00475,OFFICE
476,B00476,MULTI_RES
477,B00477,MULTI_RES
478,B00478,MULTI_RES
479,B00479,RETAIL
480,B00480,MULTI_RES
481,B00481,MULTI_RES
482,B00482,MULTI_RES
483,B00483,MULTI_RES
484,B00484,OFFICE
485,B00485,MULTI_RES
486,B00486,MULTI_RES
487,B00487,MULTI_RES
488,B00488,MULTI_RES
489,B00489,MULTI_RES
490,B00490,INDUSTRIAL
491,B00491,RETAIL
492,B00492,MULTI_RES
493,B00493,OFFICE
494,B00494,RETAIL
495,B00495,MULTI_RES
496,B00496,MULTI_RES
497,B00497,OFFICE
498,B00498,OFFICE
499,B00499,OFFICE
500,B00500,OFFICE
501,B00501,INDUSTRIAL
502,B00502,MULTI_RES
503,B00503,OFFICE
504,B00504,INDUSTRIAL
505,B00505,OFFICE
506,B00506,MULTI_RES
507,B00507,MULTI_RES
508,B00508,MULTI_RES
509,B00509,MULTI_RES
510,B00510,MULTI_RES
511,B00511,MULTI_RES
512,B00512,INDUSTRIAL
513,B00513,MULTI_RES
514,B00514,RESTAURANT
515,B00515,SCHOOL
516,B00516,MULTI_RES
517,B00517,MULTI_RES
518,B00518,INDUSTRIAL
519,B00519,MULTI_RES
520,B00520,MULTI_RES
521,B00521,MULTI_RES
522,B00522,MULTI_RES
523,B00523,MULTI_RES
524,B00524,RETAIL
525,B00525,MULTI_RES
526,B00526,RETAIL
527,B00527,OFFICE
528,B00528,MULTI_RES
529,B00529,MULTI_RES
530,B00530,MULTI_RES
531,B00531,MULTI_RES
532,B00532,MULTI_RES
533,B00533,MULTI_RES
534,B00534,MULTI_RES
535,B00535,MULTI_RES
536,B00536,MULTI_RES
537,B00537,OFFICE
538,B00538,MULTI_RES
539,B00539,INDUSTRIAL
540,B00540,MULTI_RES
541,B00541,INDUSTRIAL
542,B00542,INDUSTRIAL
543,B00543,INDUSTRIAL
544,B00544,INDUSTRIAL
545,B00545,INDUSTRIAL
546,B00546,MULTI_RES
547,B00547,MULTI_RES
548,B00548,MULTI_RES
549,B00549,MULTI_RES
550,B00550,SERVERROOM
551,B00551,MULTI_RES
552,B00552,MULTI_RES
553,B00553,MULTI_RES
554,B00554,MULTI_RES
555,B00555,RETAIL
556,B00556,INDUSTRIAL
557,B00557,MULTI_RES
558,B00558,RETAIL
559,B00559,MULTI_RES
560,B00560,MULTI_RES
561,B00561,MULTI_RES
562,B00562,INDUSTRIAL
563,B00563,MULTI_RES
564,B00564,INDUSTRIAL
565,B00565,MULTI_RES
566,B00566,MULTI_RES
567,B00567,INDUSTRIAL
568,B00568,MULTI_RES
569,B00569,MULTI_RES
570,B00570,INDUSTRIAL
571,B00571,SERVERROOM
572,B00572,MULTI_RES
573,B00573,INDUSTRIAL
574,B00574,MULTI_RES
575,B00575,MULTI_RES
576,B00576,INDUSTRIAL
577,B00577,INDUSTRIAL
578,B00578,MULTI_RES
579,B00579,INDUSTRIAL
580,B00580,MULTI_RES
581,B00581,INDUSTRIAL
582,B00582,INDUSTRIAL
583,B00583,INDUSTRIAL
584,B00584,MULTI_RES
585,B00585,INDUSTRIAL
586,B00586,INDUSTRIAL
587,B00587,MULTI_RES
588,B00588,INDUSTRIAL
589,B00589,MULTI_RES
590,B00590,FOODSTORE
591,B00591,INDUSTRIAL
592,B00592,INDUSTRIAL
593,B00593,INDUSTRIAL
594,B00594,INDUSTRIAL
595,B00595,INDUSTRIAL
596,B00596,INDUSTRIAL
597,B00597,INDUSTRIAL
598,B00598,INDUSTRIAL
599,B00599,INDUSTRIAL
600,B00600,INDUSTRIAL
601,B00601,MULTI_RES
602,B00602,SCHOOL
603,B00603,MULTI_RES
