id,name,standard
422,B00422,STANDARD1
423,B00423,STANDARD4
424,B00424,STANDARD1
425,B00425,STANDARD1
426,B00426,STANDARD1
427,B00427,STANDARD2
428,B00428,STANDARD1
429,B00429,STANDARD2
430,B00430,STANDARD1
431,B00431,STANDARD1
432,B00432,STANDARD5
433,B00433,STANDARD1
434,B00434,STANDARD1
435,B00435,STANDARD1
436,B00436,STANDARD1
437,B00437,STANDARD1
438,B00438,STANDARD1
439,B00439,STANDARD1
440,B00440,STANDARD5
441,B00441,STANDARD1
442,B00442,STANDARD1
443,B00443,STANDARD1
444,B00444,STANDARD2
445,B00445,STANDARD2
446,B00446,STANDARD1
447,B00447,STANDARD1
448,B00448,STANDARD1
449,B00449,STANDARD1
450,B00450,STANDARD1
451,B00451,STANDARD1
452,B00452,STANDARD1
453,B00453,STANDARD1
454,B00454,STANDARD1
455,B00455,STANDARD1
456,B00456,STANDARD1
457,B00457,STANDARD5
458,B00458,STANDARD5
459,B00459,STANDARD1
460,B00460,STANDARD1
461,B00461,STANDARD1
462,B00462,STANDARD2
463,B00463,STANDARD4
464,B00464,STANDARD1
465,B00465,STANDARD1
466,B00466,STANDARD1
467,B00467,STANDARD5
468,B00468,STANDARD1
469,B00469,STANDARD1
470,B00470,STANDARD1
471,B00471,STANDARD1
472,B00472,STANDARD1
473,B00473,STANDARD4
474,B00474,STANDARD4
475,B00475,STANDARD2
476,B00476,STANDARD2
477,B00477,STANDARD1
478,B00478,STANDARD1
479,B00479,STANDARD5
480,B00480,STANDARD1
481,B00481,STANDARD1
482,B00482,STANDARD1
483,B00483,STANDARD1
484,B00484,STANDARD2
485,B00485,STANDARD2
486,B00486,STANDARD1
487,B00487,STANDARD2
488,B00488,STANDARD1
489,B00489,STANDARD1
490,B00490,STANDARD1
491,B00491,STANDARD1
492,B00492,STANDARD2
493,B00493,STANDARD2
494,B00494,STANDARD1
495,B00495,STANDARD1
496,B00496,STANDARD1
497,B00497,STANDARD1
498,B00498,STANDARD1
499,B00499,STANDARD2
500,B00500,STANDARD2
501,B00501,STANDARD1
502,B00502,STANDARD1
503,B00503,STANDARD2
504,B00504,STANDARD2
505,B00505,STANDARD1
506,B00506,STANDARD1
507,B00507,STANDARD2
508,B00508,STANDARD2
509,B00509,STANDARD2
510,B00510,STANDARD2
511,B00511,STANDARD1
512,B00512,STANDARD1
513,B00513,STANDARD1
514,B00514,STANDARD1
515,B00515,STANDARD2
516,B00516,STANDARD2
517,B00517,STANDARD1
518,B00518,STANDARD2
519,B00519,STANDARD1
520,B00520,STANDARD1
521,B00521,STANDARD1
522,B00522,STANDARD5
523,B00523,STANDARD1
524,B00524,STANDARD2
525,B00525,STANDARD1
526,B00526,STANDARD2
527,B00527,STANDARD1
528,B00528,STANDARD1
529,B00529,STANDARD1
530,B00530,STANDARD5
531,B00531,STANDARD5
532,B00532,STANDARD1
533,B00533,STANDARD5
534,B00534,STANDARD5
535,B00535,STANDARD2
536,B00536,STANDARD5
537,B00537,STANDARD1
538,B00538,STANDARD1
539,B00539,STANDARD4
540,B00540,STANDARD1
541,B00541,STANDARD1
542,B00542,STANDARD1
543,B00543,STANDARD1
544,B00544,STANDARD2
545,B00545,STANDARD1
546,B00546,STANDARD1
547,B00547,STANDARD1
548,B00548,STANDARD1
549,B00549,STANDARD1
550,B00550,STANDARD1
551,B00551,STANDARD1
552,B00552,STANDARD1
553,B00553,STANDARD5
554,B00554,STANDARD1
555,B00555,STANDARD1
556,B00556,STANDARD1
557,B00557,STANDARD1
558,B00558,STANDARD1
559,B00559,STANDARD1
560,B00560,STANDARD1
561,B00561,STANDARD1
562,B00562,STANDARD2
563,B00563,STANDARD1
