id,name,x,y,height,floor_area,perimeter
15895,B15895,120.39701077525807,31.52586517242382,9.0,2440.200670650229,225.21036518736526
15896,B15896,120.3976241497727,31.52596723178389,9.0,2569.879788532853,211.81041321617204
15897,B15897,120.36045257319873,31.526065083686188,9.0,918.0228548180312,133.57074153723224
15898,B15898,120.35814432231774,31.526204225646797,9.0,249.61635761463185,63.85065822125863
15899,B15899,120.35175685334832,31.526060445369204,9.0,895.9230732135475,163.0383010610509
15900,B15900,120.39207295792673,31.52603614222917,9.0,3392.098363559693,249.9479914868814
15901,B15901,120.38998380607921,31.526355998935518,9.0,127.91859913617373,45.53508982098844
15902,B15902,120.35365037067182,31.526053746010167,9.0,2618.5736163258553,206.2444303387826
15903,B15903,120.36451203266326,31.526367459768668,9.0,73.47701281681657,34.370382493988544
15904,B15904,120.37548167279712,31.526336882286117,9.0,454.01519552152604,122.26827496067571
15905,B15905,120.35267325939888,31.52615541427049,9.0,2201.1898659020662,190.72162916493787
15906,B15906,120.35929940238394,31.526354716419597,9.0,3284.6882916357936,287.4822710122897
15907,B15907,120.36424665417823,31.526672344999483,9.0,641.1980282738805,103.92420387683669
15908,B15908,120.35321568284681,31.526491696699214,9.0,2528.597340762615,204.24282280695974
15909,B15909,120.37316028886471,31.526807352852995,9.0,137.0599086470902,50.23838080274001
15910,B15910,120.35283898772393,31.526852612681974,9.0,1025.946105003357,178.41089496872968
15911,B15911,120.3589439104886,31.526937407195366,9.0,3400.0719853465307,235.9181556119132
15912,B15912,120.37767548550941,31.526883017501056,9.0,2163.1153825968504,197.71009754355578
15913,B15913,120.39642841652727,31.52679199060219,9.0,12143.821108147502,445.076574442111
15914,B15914,120.37604978103194,31.525729994202617,9.0,42546.892153482884,1576.3428456226027
15915,B15915,120.353242175684,31.52717918818172,9.0,340.1419520229101,78.17691968749513
15916,B15916,120.35880327939844,31.527312555424455,9.0,941.0460853950435,144.3719458339554
15917,B15917,120.37122414277317,31.526784564599872,9.0,15289.190355680883,609.2584766882974
15918,B15918,120.3977750293385,31.527364852187166,9.0,3999.02123784367,273.1428809719559
15919,B15919,120.36436906915864,31.527390563611487,9.0,2749.077501827851,262.5592220866892
15920,B15920,120.3787487173467,31.52760961835919,9.0,1946.916490804404,184.44308929086282
15921,B15921,120.3563046461464,31.527681948010855,9.0,884.4449422509315,132.45484309509578
15922,B15922,120.37638556418192,31.527801256129855,9.0,447.0633379481733,103.45822698582984
15923,B15923,120.35103156006141,31.52762752369709,9.0,2185.4808309972286,205.4461581818884
15924,B15924,120.36999909185056,31.527584549113243,9.0,7369.301484048367,353.18931482912006
15925,B15925,120.3631743166211,31.527640745928508,9.0,6082.611153490841,333.3063141673085
15926,B15926,120.36068097202666,31.527819216196125,9.0,1562.2272475287318,214.9226211655431
15927,B15927,120.35019676134131,31.52757447369358,9.0,5354.85972751677,381.59227186524026
15928,B15928,120.37060309460422,31.528042146507598,9.0,1499.3320443481207,177.8946483325474
15929,B15929,120.36542341792843,31.527641065141783,9.0,12457.32514590025,449.0510101748965
15930,B15930,120.3609413663512,31.528009783362585,9.0,1399.9802871122956,208.88692905119908
15931,B15931,120.36111018555566,31.528159896599075,9.0,1826.3422476127744,219.7201764940857
15932,B15932,120.36946260848191,31.528263482716692,9.0,2082.585861310363,199.36162791530404
15933,B15933,120.37715701567198,31.528396076872657,9.0,723.9091046750546,122.42458855945932
15934,B15934,120.3778756515717,31.528592016254986,9.0,167.60366255789995,58.011220313177624
